trip_date,group,period,trips,avg_fare,avg_cbd_fee
2024-01-01,CBD-bound (treated),Pre,42419,25.771670713595473,0.0
2024-01-01,Manhattan control,Pre,25374,26.824889256719665,0.0
2024-01-02,CBD-bound (treated),Pre,38788,26.885476178199603,0.0
2024-01-02,Manhattan control,Pre,26215,25.089365630364387,0.0
2024-01-03,CBD-bound (treated),Pre,43074,25.812084320007585,0.0
2024-01-03,Manhattan control,Pre,29130,24.019857191898495,0.0
2024-01-04,CBD-bound (treated),Pre,52083,25.058386421673223,0.0
2024-01-04,Manhattan control,Pre,40460,24.026012110726768,0.0
2024-01-05,CBD-bound (treated),Pre,53635,24.56217041111225,0.0
2024-01-05,Manhattan control,Pre,39718,23.10650108263266,0.0
2024-01-06,CBD-bound (treated),Pre,52608,22.351407580596245,0.0
2024-01-06,Manhattan control,Pre,34699,22.606425257212106,0.0
2024-01-07,CBD-bound (treated),Pre,34884,24.427016110538005,0.0
2024-01-07,Manhattan control,Pre,23051,24.06725955490012,0.0
2024-01-08,CBD-bound (treated),Pre,39872,25.967011436597296,0.0
2024-01-08,Manhattan control,Pre,31265,22.775359667359748,0.0
2024-01-09,CBD-bound (treated),Pre,50083,23.480048918794893,0.0
2024-01-09,Manhattan control,Pre,35904,22.212499721479656,0.0
2024-01-10,CBD-bound (treated),Pre,49995,25.10206240624069,0.0
2024-01-10,Manhattan control,Pre,35959,22.929750271142197,0.0
2024-01-11,CBD-bound (treated),Pre,56430,25.71988995215323,0.0
2024-01-11,Manhattan control,Pre,38029,23.786328591338293,0.0
2024-01-12,CBD-bound (treated),Pre,56622,26.025519232807177,0.0
2024-01-12,Manhattan control,Pre,36696,23.22837720732516,0.0
2024-01-13,CBD-bound (treated),Pre,63090,24.02854430179115,0.0
2024-01-13,Manhattan control,Pre,32272,22.497748202776556,0.0
2024-01-14,CBD-bound (treated),Pre,54712,23.21372843251947,0.0
2024-01-14,Manhattan control,Pre,29022,23.560802494659352,0.0
2024-01-15,CBD-bound (treated),Pre,41851,25.048300876920685,0.0
2024-01-15,Manhattan control,Pre,25556,23.389546877445785,0.0
2024-01-16,CBD-bound (treated),Pre,48941,26.37504852781935,0.0
2024-01-16,Manhattan control,Pre,34368,23.244066864525273,0.0
2024-01-17,CBD-bound (treated),Pre,60021,24.987007880575227,0.0
2024-01-17,Manhattan control,Pre,39810,23.215544084401053,0.0
2024-01-18,CBD-bound (treated),Pre,59089,24.715435360219484,0.0
2024-01-18,Manhattan control,Pre,40608,23.096465967297178,0.0
2024-01-19,CBD-bound (treated),Pre,50917,24.115481666241273,0.0
2024-01-19,Manhattan control,Pre,36025,22.418086884108376,0.0
2024-01-20,CBD-bound (treated),Pre,63422,22.52836602440797,0.0
2024-01-20,Manhattan control,Pre,36023,21.40754545706922,0.0
2024-01-21,CBD-bound (treated),Pre,45638,24.55986283360372,0.0
2024-01-21,Manhattan control,Pre,28543,22.7312647584348,0.0
2024-01-22,CBD-bound (treated),Pre,44158,26.662160650391975,0.0
2024-01-22,Manhattan control,Pre,32463,22.79103440840353,0.0
2024-01-23,CBD-bound (treated),Pre,53815,25.164781194834333,0.0
2024-01-23,Manhattan control,Pre,37289,23.10662742363711,0.0
2024-01-24,CBD-bound (treated),Pre,56702,24.830086593065673,0.0
2024-01-24,Manhattan control,Pre,39106,23.340653608142063,0.0
2024-01-25,CBD-bound (treated),Pre,60351,24.967683716922775,0.0
2024-01-25,Manhattan control,Pre,39232,23.836441425367173,0.0
2024-01-26,CBD-bound (treated),Pre,56663,24.712145491767146,0.0
2024-01-26,Manhattan control,Pre,38706,22.859642174339974,0.0
2024-01-27,CBD-bound (treated),Pre,64433,22.70495491440728,0.0
2024-01-27,Manhattan control,Pre,35942,22.6277099215404,0.0
2024-01-28,CBD-bound (treated),Pre,51274,23.33552463236757,0.0
2024-01-28,Manhattan control,Pre,30804,23.219086157641993,0.0
2024-01-29,CBD-bound (treated),Pre,43462,26.33118057153392,0.0
2024-01-29,Manhattan control,Pre,32217,22.91757581401132,0.0
2024-01-30,CBD-bound (treated),Pre,54646,24.63319694030676,0.0
2024-01-30,Manhattan control,Pre,37647,22.60231040986012,0.0
2024-01-31,CBD-bound (treated),Pre,55122,24.49937701825051,0.0
2024-01-31,Manhattan control,Pre,37821,23.13416752597772,0.0
2024-02-01,CBD-bound (treated),Pre,59653,24.982137696343894,0.0
2024-02-01,Manhattan control,Pre,39623,23.35508189687818,0.0
2024-02-02,CBD-bound (treated),Pre,57025,24.552070670758567,0.0
2024-02-02,Manhattan control,Pre,38960,22.732880646817385,0.0
2024-02-03,CBD-bound (treated),Pre,65927,22.65538717065854,0.0
2024-02-03,Manhattan control,Pre,35552,21.971578814131583,0.0
2024-02-04,CBD-bound (treated),Pre,49664,24.198583279639333,0.0
2024-02-04,Manhattan control,Pre,27795,23.55698075193396,0.0
2024-02-05,CBD-bound (treated),Pre,46738,26.08137190294846,0.0
2024-02-05,Manhattan control,Pre,33055,22.920595673876967,0.0
2024-02-06,CBD-bound (treated),Pre,55920,25.318542203147413,0.0
2024-02-06,Manhattan control,Pre,37430,22.934271440021497,0.0
2024-02-07,CBD-bound (treated),Pre,56389,25.292983205944513,0.0
2024-02-07,Manhattan control,Pre,37108,24.608368815349813,0.0
2024-02-08,CBD-bound (treated),Pre,62646,25.694751300961055,0.0
2024-02-08,Manhattan control,Pre,40520,23.417913376110626,0.0
2024-02-09,CBD-bound (treated),Pre,61228,25.22466845234215,0.0
2024-02-09,Manhattan control,Pre,38450,23.260935760728348,0.0
2024-02-10,CBD-bound (treated),Pre,67321,23.367317924570393,0.0
2024-02-10,Manhattan control,Pre,34344,22.211808176100774,0.0
2024-02-11,CBD-bound (treated),Pre,52178,23.626625780980657,0.0
2024-02-11,Manhattan control,Pre,32111,23.22585469153885,0.0
2024-02-12,CBD-bound (treated),Pre,48149,25.960741448420663,0.0
2024-02-12,Manhattan control,Pre,34361,22.822320072175003,0.0
2024-02-13,CBD-bound (treated),Pre,37137,22.963993860570547,0.0
2024-02-13,Manhattan control,Pre,25228,21.449522356112315,0.0
2024-02-14,CBD-bound (treated),Pre,66797,24.57876177073828,0.0
2024-02-14,Manhattan control,Pre,44985,22.804735133933654,0.0
2024-02-15,CBD-bound (treated),Pre,68347,24.5207707726748,0.0
2024-02-15,Manhattan control,Pre,43432,23.086974120464316,0.0
2024-02-16,CBD-bound (treated),Pre,58153,25.742105480370853,0.0
2024-02-16,Manhattan control,Pre,37107,23.13156574231289,0.0
2024-02-17,CBD-bound (treated),Pre,64751,22.627945205479534,0.0
2024-02-17,Manhattan control,Pre,31307,22.128369374261464,0.0
2024-02-18,CBD-bound (treated),Pre,55232,22.89714133111252,0.0
2024-02-18,Manhattan control,Pre,27286,23.447387671333427,0.0
2024-02-19,CBD-bound (treated),Pre,41046,25.88115139112228,0.0
2024-02-19,Manhattan control,Pre,24896,24.334340857969305,0.0
2024-02-20,CBD-bound (treated),Pre,53104,25.646144546550232,0.0
2024-02-20,Manhattan control,Pre,34095,23.992153394926063,0.0
2024-02-21,CBD-bound (treated),Pre,56800,24.86047288732398,0.0
2024-02-21,Manhattan control,Pre,36799,23.025544987635698,0.0
2024-02-22,CBD-bound (treated),Pre,63974,25.116623628349167,0.0
2024-02-22,Manhattan control,Pre,40098,23.459918449798177,0.0
2024-02-23,CBD-bound (treated),Pre,55913,24.538904011589487,0.0
2024-02-23,Manhattan control,Pre,35500,23.30028225352121,0.0
2024-02-24,CBD-bound (treated),Pre,70463,22.296878503611953,0.0
2024-02-24,Manhattan control,Pre,35951,22.77241578815612,0.0
2024-02-25,CBD-bound (treated),Pre,52454,23.591501506081787,0.0
2024-02-25,Manhattan control,Pre,30832,23.90858134405821,0.0
2024-02-26,CBD-bound (treated),Pre,43713,28.0355265024137,0.0
